Team,Index,Abb,FullName
49ers,0,SF,San Francisco 49ers
Bears,1,CHI,Chicago Bears
Bengals,2,CIN,Cincinnati Bengals
Bills,3,BUF,Buffalo Bills
Broncos,4,DEN,Denver Broncos
Browns,5,CLE,Cleveland Browns
Buccaneers,6,TB,Tampa Bay Buccaneers
Cardinals,7,ARI,Arizona Cardinals
Chargers,8,LAC,Los Angeles Chargers
Chiefs,9,KC,Kansas City Chiefs
Colts,10,IND,Indianapolis Colts
Cowboys,11,DAL,Dallas Cowboys
Dolphins,12,MIA,Miami Dolphins
Eagles,13,PHI,Philadelphia Eagles
Falcons,14,ATL,Atlanta Falcons
Football Team,15,WSH,Washington Football Team
Giants,16,NYG,New York Giants
Jaguars,17,JAX,Jacksonville Jaguars
Jets,18,NYJ,New York Jets
Lions,19,DET,Detroit Lions
Packers,20,GB,Green Bay Packers
Panthers,21,CAR,Carolina Panthers
Patriots,22,NE,New England Patriots
Raiders,23,LV,Las Vegas Raiders
Rams,24,LAR,Los Angeles Rams
Ravens,25,BAL,Baltimore Ravens
Saints,26,NO,New Orleans Saints
Seahawks,27,SEA,Seattle Seahawks
Steelers,28,PIT,Pittsburgh Steelers
Texans,29,HOU,Houston Texans
Titans,30,TEN,Tennessee Titans
Vikings,31,MIN,Minnesota Vikings
